file_name,class_label,resolution_level,width,height,aspect_ratio,file_size_kb,mean_intensity,std_intensity,skewness,kurtosis,entropy,edge_density
150.tif,Canon120-1,150,1240,1752,0.7077625570776256,6366.8017578125,0.9999976754188538,0.0004597170336637646,-484.99053955078125,358854.25,-2047.5423130760187,3.6824274561791133e-06
300.tif,Canon120-1,300,2480,3508,0.7069555302166477,25495.0673828125,0.9999967813491821,0.000639729667454958,-395.4146728515625,278991.9375,-2047.4075899599272,3.563283922462942e-06
150.tif,Canon120-2,150,2480,3508,0.7069555302166477,25495.0673828125,0.9987203478813171,0.03126172721385956,-25.891761779785156,684.62939453125,-2037.935871854888,0.0005256418508846139
300.tif,Canon120-2,300,2480,3508,0.7069555302166477,25495.0673828125,0.9987150430679321,0.031335800886154175,-25.87537956237793,683.8265991210938,-2037.89366134646,0.0005256418508846139
150.tif,Canon220,150,1240,1752,0.7077625570776256,6366.8017578125,0.9984590411186218,0.03576274588704109,-23.834060668945312,573.5350952148438,-2039.475364781026,0.0005896486964206805
300.tif,Canon220,300,2480,3508,0.7069555302166477,25495.0673828125,0.9986016750335693,0.03411255031824112,-25.062517166137695,633.2509765625,-2039.6115252572818,0.00030092507448412846
150.tif,Canon9000-1,150,1240,1754,0.7069555302166477,6374.0791015625,0.9969097375869751,0.04957491531968117,-16.396387100219727,269.12847900390625,-2032.059748308393,0.0008174862985985949
300.tif,Canon9000-1,300,2480,3508,0.7069555302166477,25495.0712890625,0.9971659183502197,0.04768539220094681,-17.064523696899414,291.1680603027344,-2033.3540449152686,0.00041322599036304117
150.tif,Canon9000-2,150,1240,1754,0.7069555302166477,6374.0791015625,0.9999935626983643,0.0019871657714247704,-380.2073974609375,151578.421875,-2047.728172768244,7.816235700886452e-06
300.tif,Canon9000-2,300,2480,3508,0.7069555302166477,25495.0712890625,0.9999948143959045,0.0017529643373563886,-421.48486328125,188418.734375,-2047.6561026167708,5.517342847684555e-06
150.tif,EpsonV370-1,150,1236,1754,0.7046750285062714,6353.5263671875,0.9989446401596069,0.014239836484193802,-28.630287170410156,959.4893798828125,-1956.2997984303247,0.000908233792016768
300.tif,EpsonV370-1,300,2480,3508,0.7069555302166477,25495.0732421875,0.9989799857139587,0.013143119402229786,-30.7748966217041,1128.9989013671875,-1952.7490578439374,0.0004856411152389009
150.tif,EpsonV370-2,150,1236,1754,0.7046750285062714,6353.5263671875,0.9989665150642395,0.013800679706037045,-27.37009048461914,903.5159301757812,-1973.874272403018,0.0008842479326034252
300.tif,EpsonV370-2,300,2480,3508,0.7069555302166477,25495.0732421875,0.9991012215614319,0.011097105219960213,-30.809253692626953,1222.505126953125,-1974.173472513447,0.000353684665465112
150.tif,EpsonV39-1,150,1240,1754,0.7069555302166477,6374.0810546875,0.9999943971633911,0.0005089048063382506,-164.56346130371094,38034.640625,-2045.3740651135902,3.6782285651230366e-06
300.tif,EpsonV39-1,300,2480,3508,0.7069555302166477,25495.0732421875,0.9999908208847046,0.0007358393631875515,-126.41064453125,21812.2109375,-2040.7614184809547,4.827674991723986e-06
150.tif,EpsonV39-2,150,1240,1754,0.7069555302166477,6374.0810546875,0.9997850656509399,0.0017641911981627345,-58.47580337524414,9286.7021484375,-1979.6054345086025,1.6092249972413287e-05
300.tif,EpsonV39-2,300,2480,3508,0.7069555302166477,25495.0732421875,0.9996432065963745,0.002203182317316532,-59.42578887939453,10327.2353515625,-1942.086102284419,2.8621216022363628e-05
150.tif,EpsonV550,150,1239,1754,0.7063854047890535,6368.9423828125,0.9995439648628235,0.004819613881409168,-13.352174758911133,276.2784729003906,-2007.5128578581284,1.6565387726704233e-05
300.tif,EpsonV550,300,2478,3508,0.7063854047890535,25474.5185546875,0.9995351433753967,0.004912183620035648,-14.329349517822266,384.87115478515625,-2006.24373145516,1.9671397925461277e-05
150.tif,HP,150,1240,1743,0.7114170969592656,6334.1005859375,0.9952145218849182,0.002184131182730198,-1.3318476676940918,22.815114974975586,-1752.037880581296,0.0
300.tif,HP,300,2480,3503,0.7079646017699115,25458.7333984375,0.989982545375824,0.002992803929373622,-0.9681005477905273,27.352310180664062,-1638.0512542385081,0.0
